Depth (%),01_ACC VPA1,02_ACC VPA2,03_ACC VPA3,04_ACC VPA4,05_ACC WT1,06_ACC WT2,07_ACC WT3,08_ACC WT4,09_ACC VPA6,10_ACC VPA7,11_ACC VPA8,12_ACC VPA9,13_ACC WT2,14_ACC WT4,15_ACC VPA1,16_ACC VPA2,17_ACC VPA3,18_ACC WT1,19_ACC WT2,20_ACC WT3,21_ACC WT4,22_ACC WT5,WT_Mean,WT_SD,WT_N,VPA_Mean,VPA_SD,VPA_N,23_ACC VPA+E5,24_ACC VPA+E6,25_ACC VPA+E7,26_ACC WT+E4,27_ACC WT+E6,28_ACC WT+E7,WT+E_Mean,WT+E_SD,WT+E_N,VPA+E_Mean,VPA+E_SD,VPA+E_N,P_value_VPA_vs_VPA+E,q_fdr
0,37.613125,66.18765625,40.02597222,42.5559375,72.95611111,59.17840278,65.96005208,47.9928125,47.3055,35.09796875,44.40786458,56.45820313,66.88739583,55.83364583,43.6840625,66.73506944,54.87090278,59.95607639,65.59752604,59.47197917,57.73609375,58.99625,60.96057686,6.637931678,11,48.63111474,10.93502817,11,72.82223958,46.03954861,54.75635417,56.76276042,73.55972222,69.84347222,66.72198495,8.822825146,3,57.87271412,13.66059693,3,0.7252782597917702,0.7252782597917702
10,34.75625,34.48041667,27.99003472,28.48776042,49.00673611,50.37496528,43.52447917,47.63302083,36.9641875,23.99390625,31.1121875,37.26651042,56.14770833,43.37291667,38.27005208,51.95243056,36.95934028,45.17777778,51.3703125,47.72401042,39.28088542,51.28041667,47.71756629,4.68957077,11,34.74846149,7.337190982,11,51.541875,37.80298611,43.30173611,48.48484375,56.84920139,51.07982639,52.13795718,4.28139583,3,44.21553241,6.914877781,3,0.3193816035394692,0.354868448377188
20,30.92114583,30.99192708,25.04850694,27.83265625,47.56333333,45.98677083,35.60229167,39.76947917,32.78175,22.77385417,26.06203125,32.32817708,46.7415625,40.37854167,34.65911458,41.35909722,33.12763889,40.19006944,46.05744792,47.04760417,38.41817708,43.13145833,42.8078851,4.123223112,11,30.71689994,5.165225815,11,50.53723958,37.07680556,41.49180556,46.30817708,58.27829861,53.0484375,52.54497106,6.000921695,3,43.03528356,6.861673581,3,0.19181749605520093,0.27540883500051
30,27.635625,27.424375,21.11350694,21.78260417,43.67802083,43.88045139,35.09739583,36.61583333,31.48154167,20.12411458,23.77791667,28.36786458,40.71125,37.77416667,31.14125,40.37829861,33.3828125,41.12982639,43.24052083,43.22901042,35.04692708,38.94635417,39.94088699,3.425532319,11,27.87362816,6.087237933,11,48.73338542,36.7565625,39.93315972,45.80932292,57.58708333,43.65788194,49.01809606,7.498521966,3,41.80770255,6.204555173,3,0.10955456053518464,0.2738864013379616
40,27.32697917,26.90166667,20.5228125,20.53489583,44.42100694,44.49534722,35.04427083,30.65354167,29.57541667,19.77140625,24.23828125,26.49458333,41.72822917,35.2475,26.98630208,36.62888889,30.69538194,40.181875,43.43869792,43.21125,34.13994792,35.22625,38.88981061,4.929330977,11,26.33423769,5.021273666,11,44.7765625,31.43795139,40.16458333,41.55098958,54.06336806,44.84225694,46.81887153,6.486151221,3,38.79303241,6.774252767,3,0.18323853223792752,0.27540883500051
50,26.334375,29.38802083,19.85753472,20.28432292,43.22277778,41.30416667,32.50255208,32.98614583,29.10295833,20.12114583,25.3625,22.24429687,40.11869792,33.73729167,24.76432292,33.35072917,31.06739583,40.10010417,40.97528646,41.68760417,31.6959375,39.84041667,38.01554372,4.315113287,11,25.62523658,4.69450763,11,44.22536458,29.73489583,36.708125,40.85541667,53.82194444,41.27163194,45.31633102,7.369016461,3,36.88946181,7.246936141,3,0.254773727294461,0.31846715911807627
60,22.06010417,28.45463542,19.70010417,22.22197917,43.29149306,38.63038194,31.23630208,35.78833333,29.07947917,18.27697917,25.80989583,22.44671875,38.205,36.11885417,27.81578125,30.0090625,30.27368056,38.38524306,40.73270833,38.0025,31.09375,37.913125,37.21797191,3.622289277,11,25.10440183,4.31406149,11,41.00604167,29.9634375,34.20739583,38.91526042,53.46072917,42.37357639,44.91652199,7.598854818,3,35.05895833,5.57033623,3,0.192786184500357,0.27540883500051
70,26.745,27.88572917,20.25673611,20.33994792,39.10395833,37.24152778,31.74807292,30.64697917,27.25729167,20.05114583,23.71520833,21.64471354,36.14671875,32.8146875,25.44484375,34.87763889,29.95520833,37.29013889,38.21140625,39.21994792,31.68828125,36.02802083,35.46724905,3.169698592,11,25.28849669,4.684938074,11,39.92869792,34.90826389,33.62006944,38.42838542,53.22055556,41.13065972,44.2598669,7.876930082,3,36.15234375,3.333241564,3,0.027897416142213527,0.09299138714071176
80,25.00416667,25.58244792,18.54819444,18.59416667,39.50871528,34.38319444,29.76130208,29.2159375,26.21283333,18.96088542,21.78552083,20.28200521,34.94083333,30.1921875,23.76135417,28.21739583,27.70013889,37.36048611,36.19033854,37.54776042,31.10447917,39.09072917,34.48145123,3.836118734,11,23.14991903,3.675048482,11,37.94177083,34.10215278,33.10642361,38.548125,50.34576389,35.45739583,41.45042824,7.85706045,3,35.05011574,2.553256944,3,0.006589906013951596,0.03294953006975798
90,22.27666667,26.9521875,15.37350694,16.96020833,35.20552083,33.83711806,28.10817708,26.5596875,24.18470833,15.55541667,20.83088542,19.75523438,34.16958333,28.79208333,20.62057292,23.85135417,28.15638889,37.97423611,35.38658854,37.83755208,31.59869792,31.92177083,32.85372869,3.831171499,11,21.31973911,4.298408706,11,33.7865625,33.45270833,29.85628472,37.07916667,46.14690972,34.35826389,39.19478009,6.172512274,3,32.36518519,2.179174339,3,0.0021523809227056434,0.021523809227056434
